,index,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras,id_year,year,id_race,race,household_income_by_race,household_income_by_race_moe,geography,id_geography
229,Census Tract 3107,white,297.9081672029303,297.9081672029303,0.0,0.0,0.0,2022,2022,0,Total,62647,27135.0,Census Tract 3107,14000US17031310700
230,Census Tract 715,white,576.5067274636335,576.750361189065,0.00042260343865077496,0.2436337254314367,0.044639114688834525,2022,2022,0,Total,115993,14697.000000000002,Census Tract 715,14000US17031071500
231,Census Tract 717,white,366.94354721910736,367.86163181097874,0.0025019777533332,0.9180845918713771,0.12896958753758006,2022,2022,0,Total,149625,61292.0,Census Tract 717,14000US17031071700
232,Census Tract 6712,black,416.6595887648806,450.3727004147101,0.08091284242315537,33.7131116498295,1.0115187156811611,2022,2022,0,Total,40286,9621.0,Census Tract 6712,14000US17031671200
233,Census Tract 6705,black,1148.2035656121193,1180.6679945387143,0.028274105654155404,32.46442892659502,1.8,2022,2022,0,Total,30313,9593.0,Census Tract 6705,14000US17031670500
234,Census Tract 6708,black,815.0658262110039,827.2253736210016,0.014918485132082849,12.159547409997685,0.730394731448365,2022,2022,0,Total,39297,12712.0,Census Tract 6708,14000US17031670800
235,Census Tract 6709,black,777.9651156370081,811.9799734824638,0.043722857441498376,34.01485784545571,1.0,2022,2022,0,Total,29906,17687.0,Census Tract 6709,14000US17031670900
236,Census Tract 6714,black,764.2759128029282,792.2407125120889,0.03658992680614737,27.964799709160616,1.3419892997829665,2022,2022,0,Total,26080,837.0,Census Tract 6714,14000US17031671400
237,Census Tract 6715,black,318.43302115501655,321.7666634844336,0.010468896464711157,3.333642329417046,0.12133970283802613,2022,2022,0,Total,34167,15435.999999999998,Census Tract 6715,14000US17031671500
238,Census Tract 6716,black,250.80347464475508,250.80347464475508,0.0,0.0,0.0,2022,2022,0,Total,21063,12308.0,Census Tract 6716,14000US17031671600
239,Census Tract 2305,white,812.6824349821056,910.977949585169,0.12095193690906793,98.29551460306334,4.999999999999999,2022,2022,0,Total,28413,18770.0,Census Tract 2305,14000US17031230500
240,Census Tract 2406,white,512.6204043241911,549.7528111068343,0.07243645877029889,37.132406782643216,1.716386190632296,2022,2022,0,Total,157938,26996.0,Census Tract 2406,14000US17031240600
241,Census Tract 2410,white,386.21986551808897,402.70691037719763,0.04268823623816543,16.487044859108664,0.830289431744776,2022,2022,0,Total,90185,19396.0,Census Tract 2410,14000US17031241000
242,Census Tract 803,white,234.22886595364005,234.59501563971293,0.001563213332319782,0.36614968607287324,0.042187348001110125,2022,2022,0,Total,157112,21808.0,Census Tract 803,14000US17031080300
243,Census Tract 3008,white,306.8693532368114,324.1663425011581,0.05636597164852311,17.296989264346735,1.0,2022,2022,0,Total,29684,6013.0,Census Tract 3008,14000US17031300800
244,Census Tract 6502,white,792.6706628570563,819.5402616609678,0.033897556782364356,26.869598803911458,1.625,2022,2022,0,Total,92357,20413.0,Census Tract 6502,14000US17031650200
