,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 619.01,white,234.8,273.20000000000005,0.16354344122657594,38.400000000000034,2.0
Census Tract 8399,white,244.0,244.0,0.0,0.0,0.0
Census Tract 301.04,white,174.3,174.3,0.0,0.0,0.0
Census Tract 8397,white,261.5,261.5,0.0,0.0,0.0
Census Tract 8352,white,154.39999999999998,206.59999999999997,0.3380829015544041,52.19999999999999,2.0
Census Tract 8339,black,137.10000000000002,137.10000000000002,0.0,0.0,0.0
Census Tract 8368,black,92.7,92.7,0.0,0.0,0.0
Census Tract 8388,black,443.6,443.6,0.0,0.0,0.0
Census Tract 8367,black,10.7,10.7,0.0,0.0,0.0
Census Tract 8322,white,258.6,260.3,0.006573859242072655,1.6999999999999886,1.0
Census Tract 2522.01,black,46.5,46.5,0.0,0.0,0.0
Census Tract 8310,white,224.3,237.5,0.05884975479268831,13.199999999999989,1.0
Census Tract 8324,white,212.70000000000002,212.70000000000002,0.0,0.0,0.0
Census Tract 701.03,white,337.7,376.1,0.11371039384068711,38.400000000000034,2.0
Census Tract 2207.01,white,159.3,167.2,0.049591964846201986,7.899999999999977,1.0
Census Tract 8416,white,112.60000000000001,112.60000000000001,0.0,0.0,0.0
Census Tract 6603.01,white,190.60000000000002,190.60000000000002,0.0,0.0,0.0
Census Tract 6603.02,white,167.8,167.8,0.0,0.0,0.0
Census Tract 3018.02,white,171.2,171.2,0.0,0.0,0.0
Census Tract 8340,black,143.8,143.8,0.0,0.0,0.0
Census Tract 8342,black,49.60000000000001,49.60000000000001,0.0,0.0,0.0
Census Tract 7302.01,black,250.7,250.7,0.0,0.0,0.0
Census Tract 8355,white,127.69999999999999,127.69999999999999,0.0,0.0,0.0
Census Tract 8395,white,138.6,138.6,0.0,0.0,0.0
Census Tract 8392,white,218.29999999999998,218.29999999999998,0.0,0.0,0.0
Census Tract 5305.02,black,223.4,223.4,0.0,0.0,0.0
Census Tract 8404,white,197.2,197.2,0.0,0.0,0.0
Census Tract 8410,white,244.70000000000002,285.90000000000003,0.16836943195749904,41.20000000000002,1.0
Census Tract 301.01,white,51.599999999999994,51.599999999999994,0.0,0.0,0.0
Census Tract 7003.02,black,112.60000000000001,112.60000000000001,0.0,0.0,0.0
Census Tract 7004.02,black,327.0,327.0,0.0,0.0,0.0
Census Tract 7004.01,black,123.0,123.0,0.0,0.0,0.0
Census Tract 8305,white,149.4,149.4,0.0,0.0,0.0
Census Tract 8417,white,100.5,100.5,0.0,0.0,0.0
Census Tract 6401,white,185.89999999999998,185.89999999999998,0.0,0.0,0.0
Census Tract 8407,white,17.6,17.6,0.0,0.0,0.0
Census Tract 8413,white,144.2,144.2,0.0,0.0,0.0
Census Tract 3018.01,white,66.6,66.6,0.0,0.0,0.0
Census Tract 608,white,122.10000000000001,122.10000000000001,0.0,0.0,0.0
Census Tract 8323,white,209.20000000000002,210.90000000000003,0.008126195028680769,1.700000000000017,1.0
Census Tract 8325,white,281.5,296.4,0.052930728241562974,14.899999999999977,1.0
Census Tract 8320,white,163.5,201.89999999999998,0.2348623853211008,38.39999999999998,2.0
