Unnamed: 0,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras,flow_weight,income
Census Tract 2522.01,black,729.5189532431001,789.5998054375139,0.0823568077667103,60.08085219441375,1.0,75.429,47979.0
Census Tract 8310,white,217.0019439792821,217.0019439792821,0.0,0.0,0.0,68.7339,177500.0
Census Tract 8324,white,526.2831855745164,540.0787671316335,0.0262132288001129,13.795581557117089,0.8671841968568518,3642.2708,132226.0
Census Tract 701.03,white,360.9966025239762,392.5026159224405,0.0872750967133318,31.50601339846424,1.0003137359201228,715.8887,78125.0
Census Tract 2207.01,white,647.9025709099334,674.9983987277337,0.0418208370121855,27.09582781780034,2.126183044271656,2125.1001,75625.0
Census Tract 6603.02,white,373.4733583756341,388.7468045206994,0.0408956778376237,15.27344614506535,1.3111992969619062,4417.7407,44329.0
Census Tract 3018.02,white,896.0837313361924,896.9166732538772,0.0009295358107247,0.8329419176848205,0.150739006503946,836.2307999999999,33668.0
Census Tract 8340,black,559.6643216747626,562.1483664055608,0.004438454685417,2.484044730798132,0.2,1983.1467,39194.0
Census Tract 8342,black,488.36066069041175,488.36066069041175,0.0,0.0,0.0,456.1356,57270.0
Census Tract 7302.01,black,876.1727616955351,913.7858975407668,0.0429289033962253,37.61313584523157,1.872656547909595,1511.3121,62083.0
Census Tract 8355,white,635.0653934025272,643.346595353469,0.0130399200412623,8.28120195094175,0.5745327357942509,4484.332,18304.0
Census Tract 8395,white,378.85550509433017,378.85550509433017,0.0,0.0,0.0,7804.418000000001,
Census Tract 8392,white,836.5894864956462,871.1681170391533,0.0413328533309115,34.57863054350719,0.9584304070777032,2121.8717,43090.0
Census Tract 8404,white,720.0052492319438,732.9201306139014,0.0179372044797372,12.91488138195757,0.5840369888957175,2553.2852,71667.0
Census Tract 8410,white,382.6463419678466,382.6463419678466,0.0,0.0,0.0,206.1207,103750.0
Census Tract 301.01,white,610.3397656334444,692.2273974246525,0.1341672891102231,81.88763179120815,1.972781757746769,859.7359,50696.0
Census Tract 7003.02,black,1253.501176495119,1336.458970447462,0.0661808664466509,82.95779395234331,3.666521640501853,1375.384,83086.0
Census Tract 8407,white,502.1257551999542,504.7072138642884,0.0051410600583637,2.581458664334207,0.4122902122022873,8168.1587,97727.0
Census Tract 8413,white,589.5199402593078,612.9531282382204,0.0397496104518623,23.433187978912656,0.5342303186128748,1123.244,79744.0
Census Tract 3018.01,white,886.3635628163438,962.7554250600532,0.0861856978878742,76.39186224370928,2.326153761246762,2261.2954,35779.0
Census Tract 608,white,551.2905228079824,554.0813879020506,0.0050624216789597,2.790865094068181,0.3829708273224362,2012.0402,81156.0
Census Tract 8323,white,401.8088913879901,402.3224195950932,0.0012780409247021,0.513528207103036,1.0,68.6413,119886.0
Census Tract 8325,white,301.31269875675514,301.31269875675514,0.0,0.0,0.0,962.6012,142500.0
Census Tract 8320,white,582.337920997655,602.2545509229979,0.0342011557331211,19.91662992534281,1.0,1260.8793,128828.0
Census Tract 1606.01,white,530.944430464283,582.2378150307503,0.0966078211266176,51.29338456646735,2.6142473338372354,958.7843,83333.0
Census Tract 2105.01,white,608.1523952691781,674.5711088785347,0.109213930794367,66.41871360935659,2.2957774137170297,1425.3421,61678.0
Census Tract 2106.01,white,604.5465861087597,638.8431291552569,0.0567310176495267,34.29654304649716,1.2150245642423063,2158.8087,93547.0
Census Tract 813,white,196.9220070066665,203.67815954578728,0.0343087735180969,6.756152539120819,0.6275283651130356,1200.242,116424.0
Census Tract 7005.02,black,656.4627341728144,669.7067216051967,0.0201747741995903,13.243987432382257,2.0,114.0339,87543.0
Census Tract 611,white,578.978587094418,612.9511639217433,0.0586767413935208,33.97257682732527,2.001379406986368,137.0154,108158.0
Census Tract 8365,black,389.4694085245423,398.02710782500526,0.0219727123957766,8.557699300463014,0.886080793856745,1001.0068,30944.0
Census Tract 8396,black,570.0238601889948,570.0238601889948,0.0,0.0,0.0,2370.2206,65062.0
Census Tract 8400,white,373.0150257025668,374.3996163931738,0.0037118898575175,1.384590690607013,0.1834538092343227,4190.1741,105481.0
Census Tract 8308,white,698.8563193679055,708.2191330027287,0.0133973370138393,9.36281363482317,0.6143934325995094,1697.9869,75500.0
Census Tract 4603.01,black,599.4779483386903,599.4779483386903,0.0,0.0,0.0,229.3304,31831.0
Census Tract 3104,white,384.551962375839,384.551962375839,0.0,0.0,0.0,139.3366,77991.0
Census Tract 811,white,300.94811153027604,301.2401847436828,0.0009705102049705,0.2920732134067521,0.1554544863597003,1187.6132,82039.0
Census Tract 1507,white,655.2884176384079,708.0392679724152,0.0805002025277908,52.7508503340074,1.7252151316535902,733.3184,100862.0
Census Tract 3017.02,white,575.9809745944193,575.9809745944193,0.0,0.0,0.0,1832.4432,43632.0
Census Tract 7003.01,black,326.4333613749825,386.9725860018801,0.1854566101084094,60.53922462689764,1.0,1267.3786,74207.0
Census Tract 4909.02,black,436.65403096350815,441.1290723406988,0.0102484829175083,4.475041377190678,1.0,1274.958,67428.0
Census Tract 618,white,368.3965972659303,432.3191895606408,0.173515696857991,63.92259229471057,1.24197578713311,1153.8328,69250.0
Census Tract 4909.01,black,921.8015157375072,924.4148924803992,0.0028350753370166,2.613376742892001,0.095512729580207,1200.5227,35038.0
Census Tract 8319,white,626.7340885102755,657.4936165886572,0.0490790729948901,30.759528078381777,1.0,726.7154,125139.0
Census Tract 8306,white,333.87217130238747,341.75660528361,0.0236151277612221,7.884433981222514,0.586445051295265,1766.0207,59364.0
