,race,distance,restricted_distance,rdiff,adiff,n_cameras
Census Tract 209.01,white,1858.1999999999998,1997.4,7.4911204391346615,139.20000000000027,6
Census Tract 404.01,white,1654.9,1764.5,6.622756662033955,109.59999999999991,4
Census Tract 2106.02,white,1374.8,1398.6999999999998,1.738434681408195,23.899999999999864,3
Census Tract 1605.01,white,1542.8000000000002,1554.7000000000003,0.7713248638838534,11.900000000000091,1
Census Tract 1913.02,white,1537.3000000000002,1663.1000000000001,8.183178299616205,125.79999999999995,5
Census Tract 1906.02,white,1628.6,1767.4,8.522657497236901,138.80000000000018,6
Census Tract 8402,white,858.3,870.2,1.3864616101596285,11.900000000000091,1
Census Tract 5305.01,black,1846.4,1930.4000000000003,4.549393414211451,84.00000000000023,7
Census Tract 207.01,white,1814.4,1826.3000000000002,0.6558641975308692,11.900000000000091,1
Census Tract 8314,black,1108.3,1156.6999999999998,4.367048633041583,48.399999999999864,4
Census Tract 8313,black,1321.3999999999999,1417.3,7.257454215226283,95.90000000000009,7
Census Tract 105.01,white,2040.9,2089.1000000000004,2.3617031701700366,48.20000000000027,3
Census Tract 8330,white,1009.5,1021.4,1.1788013868251588,11.899999999999977,1
Census Tract 7608.01,white,1816.1000000000001,1828.0,0.6552502615494665,11.899999999999864,1
Census Tract 2521.01,black,1206.8000000000002,1255.2,4.010606562810727,48.399999999999864,4
Census Tract 2521.02,black,1154.9,1203.3,4.190839033682558,48.399999999999864,4
Census Tract 2522.02,black,1052.8,1111.9,5.61360182370822,59.100000000000136,5
Census Tract 2206.01,white,1411.3999999999999,1447.3000000000002,2.543573756553799,35.90000000000032,2
Census Tract 2105.02,white,1432.6,1485.8999999999999,3.720508166969144,53.299999999999955,3
Census Tract 2206.02,white,1383.2,1427.9,3.2316367842683666,44.700000000000045,3
Census Tract 2209.01,white,1353.6,1481.0,9.411938534278967,127.40000000000009,7
Census Tract 2209.02,white,1397.5,1521.5,8.87298747763864,124.0,7
Census Tract 2004.01,white,1399.8,1537.5,9.837119588512648,137.70000000000005,7
Census Tract 2004.02,white,1335.9,1501.7,12.411108615914362,165.79999999999995,7
Census Tract 1913.01,white,1622.2,1748.0,7.754900752065094,125.79999999999995,5
Census Tract 1906.01,white,1683.2,1809.0,7.473859315589351,125.79999999999995,5
Census Tract 1907.01,white,1585.2,1736.8000000000002,9.563462023719413,151.60000000000014,6
Census Tract 1907.02,white,1550.3000000000002,1691.2,9.088563503837957,140.89999999999986,6
Census Tract 1904.01,white,1768.6,1907.3,7.842361189641528,138.70000000000005,6
Census Tract 1904.02,white,1693.6,1832.6000000000001,8.2073689182806,139.00000000000023,7
Census Tract 8321,white,1576.5,1597.4,1.3257215350459937,20.90000000000009,2
Census Tract 8438,white,941.0,1007.8000000000001,7.098831030818285,66.80000000000007,3
Census Tract 8428,white,538.9,683.1,26.7582111709037,144.20000000000005,3
Census Tract 3515,white,941.0999999999999,953.0,1.2644777388162887,11.900000000000091,1
Census Tract 9801,white,116.7,116.7,0.0,0.0,0
Census Tract 8333,white,963.1,977.0,1.443256152009135,13.899999999999977,2
Census Tract 8329,white,1001.1,1013.0,1.188692438317848,11.899999999999977,1
Census Tract 8380,black,1012.3,1024.1999999999998,1.1755408475748161,11.899999999999864,1
Census Tract 8381,black,1017.3,1029.2,1.1697630983977283,11.900000000000091,1
Census Tract 307.06,white,1718.3999999999999,1731.2,0.7448789571694706,12.800000000000182,1
Census Tract 3815,black,1045.8,1057.6999999999998,1.137884872824619,11.899999999999864,1
Census Tract 8331,white,1017.4,1047.6999999999998,2.978179673677987,30.29999999999984,2
Census Tract 8391,white,1002.0,1013.9000000000001,1.187624750499011,11.900000000000091,1
Census Tract 812.01,white,1194.7,1211.5,1.406210764208584,16.799999999999955,2
Census Tract 1504.01,white,1645.4,1657.3000000000002,0.723228394311419,11.900000000000091,1
Census Tract 1505.01,white,1716.9,1728.8,0.6931096744131786,11.899999999999864,1
Census Tract 8430,black,870.5,949.6999999999999,9.098219414129803,79.19999999999993,3
Census Tract 8429,white,877.5,889.4,1.3561253561253535,11.899999999999977,1
Census Tract 8421,black,1142.4,1298.2000000000003,13.637955182072844,155.80000000000018,4
Census Tract 8419,white,901.0999999999999,913.0,1.3206081455998326,11.900000000000091,1
Census Tract 802.01,white,1249.6999999999998,1266.5,1.3443226374329986,16.800000000000182,2
Census Tract 701.01,white,1531.4,1729.0,12.903225806451607,197.5999999999999,2
Census Tract 404.02,white,1664.1000000000001,1720.5,3.3892193978727154,56.399999999999864,4
Census Tract 2207.02,white,1439.8000000000002,1525.7,5.966106403667166,85.89999999999986,8
Census Tract 1403.01,white,1567.3000000000002,1626.8000000000002,3.7963376507369353,59.5,3
Census Tract 8422,white,1148.7,1239.4,7.895882301732398,90.70000000000005,2
Census Tract 8437,white,1382.9,1394.8000000000002,0.860510521368146,11.900000000000091,1
Census Tract 8350,white,642.9,721.5999999999999,12.241406128480312,78.69999999999993,2
Census Tract 8423,white,1101.0,1112.9,1.0808356039963753,11.900000000000091,1
Census Tract 2302,white,1347.6,1366.6999999999998,1.4173345206292602,19.09999999999991,2
Census Tract 8351,white,618.6,701.6,13.417394115745232,83.0,2
Census Tract 8347,black,878.1,986.6,12.356223664730669,108.5,3
Census Tract 1510.01,white,1645.7,1681.1,2.151060339065435,35.399999999999864,2
Census Tract 1510.02,white,1577.0,1612.4,2.244768547875719,35.40000000000009,2
Census Tract 1606.02,white,1495.5,1534.8000000000002,2.627883650952871,39.30000000000018,3
Census Tract 1406.01,white,1518.5,1565.0,3.0622324662495886,46.5,2
Census Tract 1407.01,white,1613.8000000000002,1625.7,0.73739001115379,11.899999999999864,1
Census Tract 1406.02,white,1553.7,1600.2,2.9928557636609385,46.5,2
Census Tract 3905,black,1207.6000000000001,1219.5,0.9854256376283423,11.899999999999864,1
Census Tract 8418,black,1272.6,1436.6,12.887002986012888,164.0,6
Census Tract 8425,black,1042.1999999999998,1205.3000000000002,15.64958741124548,163.10000000000036,5
Census Tract 8426,white,915.8,987.1999999999999,7.796462109630922,71.39999999999998,2
Census Tract 8435,white,605.7,617.6,1.964668978041931,11.899999999999977,1
Census Tract 8434,white,731.3,743.2,1.6272391631341574,11.900000000000091,1
Census Tract 1403.02,white,1613.1,1675.9,3.8931250387452847,62.80000000000018,3
Census Tract 1105.01,white,1643.9,1655.8000000000002,0.7238883143743592,11.900000000000091,1
Census Tract 3904,black,1209.9,1221.8000000000002,0.9835523596991561,11.900000000000091,1
Census Tract 8432,white,882.5999999999999,894.5,1.3482891457058794,11.900000000000091,1
Census Tract 8408,white,766.5999999999999,781.7,1.9697364988260029,15.100000000000136,2
Census Tract 1105.02,white,1512.9,1524.8,0.78656884129816,11.899999999999864,1
Census Tract 7608.02,white,2216.5,2402.0,8.369050304534175,185.5,6
Census Tract 1505.02,white,1745.4,1790.4,2.578205568924029,45.0,2
Census Tract 8431,white,831.6,843.5,1.4309764309764283,11.899999999999977,1
Census Tract 8343,black,1468.3,1539.8000000000002,4.869577061908345,71.50000000000023,4
Census Tract 8439,black,1327.8,1339.7,0.8962193101370758,11.900000000000091,1
Census Tract 8312,white,1335.6,1480.5,10.849056603773592,144.9000000000001,6
Census Tract 8316,white,1746.9,1872.7000000000003,7.201328066861307,125.80000000000018,5
Census Tract 8315,white,1679.5,1854.1,10.395951175945216,174.5999999999999,6
Census Tract 8311,white,1391.5,1403.3999999999999,0.8551922385914382,11.899999999999864,1
Census Tract 8317,white,1483.2,1495.1,0.8023193096008537,11.899999999999864,2
Census Tract 2715,black,955.4,967.3,1.2455516014234853,11.899999999999977,1
Census Tract 4402.02,black,1349.1,1420.6000000000001,5.299829515973629,71.50000000000023,4
Census Tract 4401.02,black,1409.2,1480.7000000000003,5.073800738007396,71.50000000000023,4
