,Unnamed: 0,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
143,Census Tract 8360,1,349.2508146490806,350.5001222435071,0.0035771071734844,1.2493075944265115,0.25
144,Census Tract 8358,1,569.8262168032905,579.8396921690262,0.017572858303907,10.013475365735644,0.1666666666666666
145,Census Tract 8359,1,358.83514313661965,358.83514313661965,0.0,0.0,0.0
146,Census Tract 8345,1,674.4189351882957,674.4189351882957,0.0,0.0,0.0
147,Census Tract 8436,1,728.3666748472242,730.8979657149316,0.0034752974773843,2.531290867707412,0.5
148,Census Tract 5805.01,0,685.2993513428428,685.2993513428428,0.0,0.0,0.0
149,Census Tract 8346,1,536.3321177210034,538.7775796558174,0.0045596037492687,2.4454619348139204,1.0
150,Census Tract 8318,0,722.5636061305286,752.8974439087145,0.041980854724513,30.333837778185966,2.6000000000000005
151,Census Tract 716,0,255.20019091464852,255.20019091464852,0.0,0.0,0.0
152,Census Tract 8326,0,337.33376342679253,349.2110527572779,0.0352093108315941,11.877289330485382,0.4285714285714285
153,Census Tract 619.01,0,503.0360156380322,536.8500120686257,0.0672198319392798,33.81399643059348,1.3043478260869563
154,Census Tract 8399,0,828.0271706605306,850.3741943763978,0.0269882734621384,22.34702371586718,1.0
155,Census Tract 301.04,0,267.74244576821127,283.524745832136,0.0589458276540421,15.782300063924708,0.6666666666666666
156,Census Tract 8397,0,502.00152020530993,505.8880873251632,0.0077421421318877,3.8865671198532254,0.1538461538461538
157,Census Tract 8339,1,779.3543671627076,779.3543671627076,0.0,0.0,0.0
158,Census Tract 8368,1,352.5914637124474,374.9917917165577,0.063530545431408,22.400328004110293,0.6666666666666666
159,Census Tract 8388,1,1123.7410614937407,1123.7410614937407,0.0,0.0,0.0
160,Census Tract 8367,1,510.1463803487202,518.2977742718141,0.0159785391744263,8.151393923093849,1.0
161,Census Tract 8322,0,306.66732200462343,307.32357224986487,0.0021399418788792,0.6562502452414378,0.3076923076923077
162,Census Tract 2522.01,1,729.5189532431001,789.5998054375139,0.0823568077667103,60.08085219441375,1.0
163,Census Tract 8310,0,217.0019439792821,217.0019439792821,0.0,0.0,0.0
164,Census Tract 8324,0,543.3564499643826,568.9948242312462,0.0471851843638631,25.638374266863597,1.375
165,Census Tract 701.03,0,361.6432436992639,393.4777297022293,0.0880273212830667,31.83448600296549,1.0
166,Census Tract 2207.01,0,618.0405716296079,640.0402315507606,0.0355958183508008,21.99965992115267,1.4285714285714284
167,Census Tract 6603.02,0,521.0041518229934,539.5911477650845,0.0356753317167535,18.586995942091107,1.5714285714285712
168,Census Tract 3018.02,0,922.7059658612844,924.087396482666,0.0014971515005783,1.38143062138181,0.25
169,Census Tract 8340,1,559.6643216747626,562.1483664055608,0.004438454685417,2.484044730798132,0.2
170,Census Tract 8342,1,488.36066069041175,488.36066069041175,0.0,0.0,0.0
171,Census Tract 7302.01,1,901.3695711732968,937.1975518637636,0.0397483805048246,35.8279806904668,1.833333333333333
172,Census Tract 8355,0,538.9690990687374,542.5142370039785,0.0065776274398042,3.545137935241087,0.3333333333333333
173,Census Tract 8395,0,442.723746800844,442.723746800844,0.0,0.0,0.0
174,Census Tract 8392,0,762.0075159979879,782.6183159741936,0.0270480271434227,20.61079997620573,1.0
175,Census Tract 8404,0,611.5288021024207,620.616555458841,0.0148607119160648,9.087753356420308,0.5
176,Census Tract 8410,0,382.62214157062334,382.62214157062334,0.0,0.0,0.0
177,Census Tract 301.01,0,644.5437299105798,731.3505942852843,0.1346795575635302,86.80686437470445,2.090909090909091
178,Census Tract 7003.02,1,1099.3674098800705,1180.5862876128822,0.0738778291978583,81.21887773281173,3.0
179,Census Tract 8407,0,521.3815512015303,523.7796087963809,0.0045994293225838,2.3980575948505702,0.4
180,Census Tract 8413,0,665.5682537814853,707.615334249849,0.0631747085734174,42.04708046836368,0.9999999999999998
181,Census Tract 3018.01,0,805.1037430124524,864.6868099011037,0.0740066946723036,59.58306688865139,2.4285714285714284
182,Census Tract 608,0,516.7901305306442,517.878451084123,0.0021059236413072,1.088320553478752,0.2307692307692307
183,Census Tract 8323,0,401.8088913879901,402.3224195950932,0.0012780409247021,0.513528207103036,1.0
184,Census Tract 8325,0,279.62292982799465,279.62292982799465,0.0,0.0,0.0
185,Census Tract 8320,0,571.0123873412465,590.9290172665893,0.0348795058861661,19.916629925342814,1.0
186,Census Tract 1606.01,0,693.3826550358374,733.9869479064384,0.058559718181157,40.60429287060106,2.0
187,Census Tract 2105.01,0,596.5751669944707,629.1742987399809,0.054643796036204,32.59913174551025,1.125
188,Census Tract 2106.01,0,576.4036403105083,596.5292049647769,0.0349157486989967,20.1255646542686,0.875
