,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 8387,white,219.9333333333333,219.9333333333333,0.0,0.0,0.0
Census Tract 206.01,white,223.06666666666663,257.2,0.15301852958756737,34.133333333333354,1.6666666666666667
Census Tract 8415,white,122.7,122.7,0.0,0.0,0.0
Census Tract 8386,black,113.43333333333332,113.43333333333332,0.0,0.0,0.0
Census Tract 8373,black,144.03333333333333,144.03333333333333,0.0,0.0,0.0
Census Tract 206.02,white,221.13333333333335,251.0666666666667,0.13536328007235454,29.933333333333337,1.3333333333333333
Census Tract 633.01,white,113.46666666666665,113.46666666666665,0.0,0.0,0.0
Census Tract 8378,black,199.29999999999998,209.1,0.04917210235825395,9.800000000000011,0.3333333333333333
Census Tract 8374,black,147.86666666666667,147.86666666666667,0.0,0.0,0.0
Census Tract 8369,black,182.33333333333334,182.80000000000004,0.0025594149908593983,0.466666666666697,0.6666666666666666
Census Tract 203.02,white,183.9333333333333,206.6,0.12323305545487508,22.666666666666686,0.6666666666666666
Census Tract 209.02,white,175.6,182.6,0.03986332574031891,7.0,0.3333333333333333
Census Tract 107.01,white,168.26666666666668,172.33333333333334,0.024167987321711545,4.066666666666663,0.3333333333333333
Census Tract 301.03,white,213.36666666666665,242.9,0.1384158725199189,29.53333333333336,1.3333333333333333
Census Tract 633.03,white,241.83333333333334,241.83333333333334,0.0,0.0,0.0
Census Tract 301.02,white,82.36666666666666,107.09999999999998,0.30028328611898003,24.73333333333332,0.6666666666666666
Census Tract 105.02,white,172.33333333333334,182.66666666666666,0.059961315280464104,10.333333333333314,0.3333333333333333
Census Tract 105.03,white,131.03333333333333,143.43333333333337,0.09463240905622006,12.400000000000034,1.0
Census Tract 107.02,white,190.36666666666667,194.4333333333333,0.02136228331290475,4.0666666666666345,0.3333333333333333
Census Tract 8371,black,230.80000000000004,230.80000000000004,0.0,0.0,0.0
Census Tract 8370,black,208.9666666666667,208.9666666666667,0.0,0.0,0.0
Census Tract 102.01,white,127.93333333333334,127.93333333333334,0.0,0.0,0.0
Census Tract 209.01,white,193.73333333333335,200.73333333333335,0.03613214039917412,7.0,0.3333333333333333
Census Tract 404.01,white,111.3,124.56666666666666,0.11919736448038334,13.266666666666666,1.0
Census Tract 2106.02,white,387.6000000000001,429.8,0.10887512899896781,42.19999999999993,1.3333333333333333
Census Tract 1605.01,white,211.6,211.6,0.0,0.0,0.0
Census Tract 1913.02,white,375.63333333333327,421.1333333333334,0.12112876031591123,45.500000000000114,2.0
Census Tract 1906.02,white,206.13333333333335,242.33333333333334,0.1756144890038809,36.19999999999999,2.3333333333333335
Census Tract 8402,white,264.8666666666667,264.8666666666667,0.0,0.0,0.0
Census Tract 5305.01,black,293.6333333333333,310.59999999999997,0.057781814053808514,16.96666666666664,0.6666666666666666
Census Tract 207.01,white,122.26666666666665,122.26666666666665,0.0,0.0,0.0
Census Tract 8314,black,201.33333333333334,201.33333333333334,0.0,0.0,0.0
Census Tract 8313,black,363.4666666666667,383.43333333333334,0.05493396918561988,19.96666666666664,1.3333333333333333
Census Tract 105.01,white,211.0,221.33333333333334,0.04897314375987366,10.333333333333343,0.3333333333333333
Census Tract 8330,white,207.43333333333337,207.43333333333337,0.0,0.0,0.0
Census Tract 7608.01,white,205.79999999999998,205.79999999999998,0.0,0.0,0.0
Census Tract 2521.01,black,113.03333333333335,113.03333333333335,0.0,0.0,0.0
Census Tract 2521.02,black,108.13333333333333,108.13333333333333,0.0,0.0,0.0
Census Tract 2522.02,black,187.29999999999998,216.46666666666667,0.15572165865812435,29.166666666666686,1.0
Census Tract 2206.01,white,340.2,347.1666666666667,0.020478150107779827,6.966666666666697,0.3333333333333333
Census Tract 2105.02,white,426.06666666666666,458.7333333333333,0.07667031763417297,32.66666666666663,1.6666666666666667
Census Tract 2206.02,white,364.3333333333333,366.8333333333333,0.00686184812442818,2.5,0.3333333333333333
Census Tract 2209.01,white,336.3666666666667,349.40000000000003,0.03874739867208411,13.03333333333336,1.3333333333333333
Census Tract 2209.02,white,406.2666666666667,416.40000000000003,0.024942566458811925,10.133333333333326,1.6666666666666667
