,Unnamed: 0.1,Unnamed: 0,sampno,locno,perno,loctype,state,country,state_fips,county_fips,tract_fips,out_region,home,latitude,longitude,tract
299,299,1675,30005956,10002,1,2,IL,USA,17,31,241500,0,0,41.908374,-87.67093,Census Tract 2415
300,300,1701,30006014,10000,-1,1,IL,USA,17,31,330100,0,1,41.859295,-87.615523,Census Tract 3301
301,301,1702,30006014,10002,1,2,IL,USA,17,31,81800,0,0,41.893324,-87.63919,Census Tract 818
314,314,1843,30006255,10000,-1,1,IL,USA,17,31,410500,0,1,41.797831,-87.603742,Census Tract 4105
315,315,1844,30006255,10002,1,2,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
316,316,1845,30006255,10003,1,3,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
317,317,1849,30006255,20002,2,2,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
318,318,1850,30006255,20003,2,3,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
321,321,1882,30006468,10000,-1,1,IL,USA,17,31,440101,0,1,41.748627,-87.601451,Census Tract 4401.01
322,322,1883,30006468,10002,1,2,IL,USA,17,31,330100,0,0,41.859295,-87.615523,Census Tract 3301
334,334,1931,30006808,10000,-1,1,IL,USA,17,31,330100,0,1,41.859295,-87.615523,Census Tract 3301
335,335,1932,30006808,10003,1,3,IL,USA,17,31,320400,0,0,41.875817,-87.617256,Census Tract 3204
336,336,1935,30006808,20002,2,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
337,337,1940,30006886,10000,-1,1,IL,USA,17,31,230700,0,1,41.906323,-87.72154,Census Tract 2307
338,338,1946,30006886,20002,2,2,IL,USA,17,31,760803,0,0,41.975347,-87.844153,Census Tract 7608.03
339,339,1947,30006886,30002,3,2,IL,USA,17,31,980000,0,0,41.979419,-87.902438,Census Tract 9800
340,340,1948,30006886,50003,5,3,IL,USA,17,31,61000,0,0,41.949221,-87.65197,Census Tract 610
341,341,1960,30006991,10000,-1,1,IL,USA,17,31,220701,0,1,41.926155,-87.721565,Census Tract 2207.01
342,342,1961,30006991,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
343,343,1964,30007131,10000,-1,1,IL,USA,17,31,31300,0,1,41.973765,-87.64653,Census Tract 313
344,344,1965,30007131,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
345,345,1969,30007142,10000,-1,1,IL,USA,17,31,70300,0,1,41.929046,-87.65131,Census Tract 703
346,346,1970,30007142,10002,1,2,IL,USA,17,31,71000,0,0,41.921701,-87.655911,Census Tract 710
347,347,1975,30007142,20002,2,2,IL,USA,17,31,833000,0,0,41.885286,-87.657249,Census Tract 8330
348,348,1976,30007142,30002,3,2,IL,USA,17,31,71000,0,0,41.921701,-87.655911,Census Tract 710
349,349,1977,30007142,30003,3,3,IL,USA,17,31,320400,0,0,41.875817,-87.617256,Census Tract 3204
350,350,1978,30007142,40003,4,3,IL,USA,17,31,833100,0,0,41.879078,-87.657046,Census Tract 8331
351,351,2019,30007326,10000,-1,1,IL,USA,17,31,81402,0,1,41.891022,-87.612931,Census Tract 814.02
352,352,2022,30007326,20002,2,2,IL,USA,17,31,841900,0,0,41.868458,-87.642965,Census Tract 8419
405,405,2305,30008281,10000,-1,1,IL,USA,17,31,411000,0,1,41.787227,-87.577462,Census Tract 4110
406,406,2306,30008281,10002,1,2,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
411,411,2335,30008346,10000,-1,1,IL,USA,17,31,100100,0,1,41.989584,-87.783014,Census Tract 1001
412,412,2336,30008346,10002,1,2,IL,USA,17,31,120200,0,0,41.994532,-87.757611,Census Tract 1202
419,419,2392,30008684,10000,-1,1,IL,USA,17,31,320100,0,1,41.886447,-87.619467,Census Tract 3201
420,420,2393,30008684,10003,1,3,IL,USA,17,31,411200,0,0,41.790562,-87.594017,Census Tract 4112
421,421,2395,30008684,30003,3,3,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
439,439,2499,30009239,10000,-1,1,IL,USA,17,31,71300,0,1,41.921779,-87.641458,Census Tract 713
440,440,2500,30009239,10002,1,2,IL,USA,17,31,81401,0,0,41.895035,-87.619717,Census Tract 814.01
441,441,2503,30009239,20002,2,2,IL,USA,17,31,60200,0,0,41.957904,-87.671517,Census Tract 602
445,445,2530,30009311,10000,-1,1,IL,USA,17,31,833000,0,1,41.885286,-87.657249,Census Tract 8330
446,446,2535,30009311,20002,2,2,IL,USA,17,31,110100,0,0,41.987476,-87.769673,Census Tract 1101
460,460,2588,30009631,10000,-1,1,IL,USA,17,31,110300,0,1,41.975291,-87.783235,Census Tract 1103
461,461,2589,30009631,10002,1,2,IL,USA,17,31,843500,0,0,41.840983,-87.697566,Census Tract 8435
483,483,2714,30010281,10000,-1,1,IL,USA,17,31,242300,0,1,41.899506,-87.6796,Census Tract 2423
484,484,2715,30010281,10002,1,2,IL,USA,17,31,81403,0,0,41.892991,-87.620956,Census Tract 814.03
485,485,2719,30010281,20002,2,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
507,507,2898,30010963,10000,-1,1,IL,USA,17,31,81700,0,1,41.892218,-87.631832,Census Tract 817
508,508,2899,30010963,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
509,509,2902,30010963,20002,2,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
548,548,3186,30011987,10000,-1,1,IL,USA,17,31,110400,0,1,41.972954,-87.772611,Census Tract 1104
549,549,3191,30011987,20002,2,2,IL,USA,17,31,81201,0,0,41.899154,-87.626212,Census Tract 812.01
557,557,3220,30012023,10000,-1,1,IL,USA,17,31,150800,0,1,41.949709,-87.752118,Census Tract 1508
558,558,3221,30012023,10002,1,2,IL,USA,17,31,100300,0,0,41.988702,-87.804403,Census Tract 1003
564,564,3314,70000026,10000,-1,1,IL,USA,17,31,833100,0,1,41.879078,-87.657046,Census Tract 8331
565,565,3315,70000026,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
566,566,3316,70000026,20002,2,2,IL,USA,17,31,838200,0,0,41.870416,-87.675079,Census Tract 8382
567,567,3347,70000027,10000,-1,1,IL,USA,17,31,32100,0,1,41.958154,-87.653018,Census Tract 321
568,568,3348,70000027,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
569,569,3351,70000032,10000,-1,1,IL,USA,17,31,200100,0,1,41.935055,-87.737623,Census Tract 2001
570,570,3352,70000032,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
571,571,3354,70000039,10000,-1,1,IL,USA,17,31,40402,0,1,41.972545,-87.678818,Census Tract 404.02
572,572,3355,70000039,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
573,573,3356,70000039,20002,2,2,IL,USA,17,31,40300,0,0,41.976944,-87.701983,Census Tract 403
574,574,3357,70000039,30003,3,3,IL,USA,17,31,40300,0,0,41.976944,-87.701983,Census Tract 403
588,588,3470,70000057,10000,-1,1,IL,USA,17,31,411000,0,1,41.787227,-87.577462,Census Tract 4110
589,589,3471,70000057,10002,1,2,IL,USA,17,31,320400,0,0,41.875817,-87.617256,Census Tract 3204
