sampno,locno,perno,loctype,state,country,state_fips,county_fips,tract_fips,out_region,home,latitude,longitude
20001516,20002,2,2,IL,USA,17,31,230700,0,0,41.906323,-87.72154
20001516,1000002,-1,97,IL,USA,17,31,806202,0,0,42.03761,-87.888892
20001516,1000003,-1,97,IL,USA,17,31,806202,0,0,42.03761,-87.888892
20001516,1000004,-1,97,IL,USA,17,31,280100,0,0,41.885452,-87.643498
20001619,10000,-1,1,IL,USA,17,31,809500,0,1,42.046455,-87.687728
20001619,10002,1,2,IL,USA,17,31,808702,0,0,42.058204,-87.671892
20001619,10401,-1,4,IL,USA,17,31,809900,0,0,42.037618,-87.675263
20001619,10404,-1,4,IL,USA,17,31,809500,0,0,42.046455,-87.687728
20001619,10408,-1,4,IL,USA,17,31,809100,0,0,42.059352,-87.704359
20001619,20003,2,3,IL,USA,17,31,809500,0,0,42.046455,-87.687728
20001880,10000,-1,1,IL,USA,17,31,808900,0,1,42.066515,-87.717471
20001880,10002,1,2,IL,USA,17,97,863702,0,0,42.299987,-87.910961
20001880,10401,-1,4,IL,USA,17,31,806801,0,0,42.056381,-87.739538
20001880,10403,-1,4,IL,USA,17,97,864700,0,0,42.192416,-87.838819
20001880,20002,2,2,IL,USA,17,31,81700,0,0,41.892218,-87.631832
20001880,1000000,-1,97,IL,USA,17,31,809000,0,0,42.059757,-87.718914
20001880,1000001,-1,97,IL,USA,17,31,81700,0,0,41.892218,-87.631832
20001882,10000,-1,1,IL,USA,17,31,301100,0,1,41.847029,-87.697973
20001882,10401,-1,4,IL,USA,17,31,843200,0,0,41.848715,-87.664217
20001882,10402,-1,4,IL,USA,17,31,837800,0,0,41.88475,-87.684127
20001882,10403,-1,4,IL,USA,17,31,842900,0,0,41.863139,-87.672937
20001882,10404,-1,4,IL,USA,17,31,833000,0,0,41.885286,-87.657249
20001882,10406,-1,4,IL,USA,17,31,841900,0,0,41.868458,-87.642965
20001882,2000006,-1,100,IL,USA,17,31,841900,0,0,41.868458,-87.642965
20001882,2000012,-1,100,IL,USA,17,31,834800,0,0,41.783634,-87.645088
20001882,2000015,-1,100,IL,USA,17,31,410800,0,0,41.797961,-87.589625
20001882,2000017,-1,100,IL,USA,17,31,81403,0,0,41.892991,-87.620956
20001882,2000024,-1,97,IL,USA,17,31,841900,0,0,41.868458,-87.642965
20001882,2000025,-1,97,IL,USA,17,31,841900,0,0,41.868458,-87.642965
20001889,10000,-1,1,IL,USA,17,31,803902,0,1,42.082961,-88.015232
20001889,10002,1,2,IL,USA,17,31,808301,0,0,42.033341,-87.785141
20001889,10003,1,3,IL,USA,17,31,804000,0,0,42.072763,-88.018075
20001889,10401,-1,4,IL,USA,17,31,804000,0,0,42.072763,-88.018075
20001889,10402,-1,4,IL,USA,17,31,804603,0,0,42.054349,-88.054009
20001889,10403,-1,4,IL,USA,17,31,805106,0,0,42.060818,-87.998295
