,race,distance,restricted_distance,rdiff,adiff,n_cameras
Census Tract 404.02,white,329.4823529411765,361.24117647058824,9.63900592730129,31.758823529411757,1
Census Tract 2207.02,white,573.7277777777778,632.2555555555555,10.201314986782338,58.527777777777715,7
Census Tract 1403.01,white,510.38125,552.4875,8.249960201320079,42.10624999999993,0
Census Tract 8422,white,413.8222222222222,458.1833333333333,10.719847492213505,44.361111111111086,1
Census Tract 8437,white,427.75882352941176,480.70000000000005,12.376407816389127,52.94117647058829,3
Census Tract 8350,white,721.7176470588236,757.4588235294117,4.952238124735095,35.74117647058813,1
Census Tract 8423,white,385.90555555555557,409.98333333333335,6.239292860947556,24.077777777777783,0
Census Tract 2302,white,513.2666666666667,544.9444444444445,6.171797203099976,31.677777777777806,4
Census Tract 8351,white,610.3888888888889,654.1444444444444,7.16847183034494,43.755555555555475,1
Census Tract 8347,black,430.60555555555555,473.19444444444446,9.890464333174215,42.5888888888889,0
Census Tract 1510.01,white,595.2684210526317,657.6105263157895,10.472940115471996,62.342105263157805,5
Census Tract 1510.02,white,587.5842105263159,671.0684210526316,14.208041848424841,83.48421052631568,5
Census Tract 1606.02,white,429.1444444444445,490.90000000000003,14.390389146363558,61.75555555555553,3
Census Tract 1406.01,white,502.1555555555556,553.3277777777778,10.190512014869217,51.17222222222216,4
Census Tract 1407.01,white,465.05555555555554,496.87222222222226,6.8414765261020305,31.81666666666672,3
Census Tract 1406.02,white,495.05555555555554,532.4277777777778,7.549096622152404,37.37222222222226,3
Census Tract 3905,black,408.62777777777774,410.09444444444443,0.358924856905912,1.466666666666697,0
Census Tract 8418,black,465.26666666666665,554.9888888888889,19.284042604002497,89.72222222222229,1
Census Tract 8425,black,361.52777777777777,421.4944444444444,16.587014982712248,59.96666666666664,1
Census Tract 8426,white,551.5117647058823,565.0,2.445684055590518,13.488235294117658,1
Census Tract 8435,white,457.25882352941176,461.7176470588235,0.9751202819872857,4.458823529411745,0
Census Tract 8434,white,460.99411764705883,465.6176470588236,1.0029475940742,4.623529411764764,0
Census Tract 1403.02,white,516.1055555555555,556.2777777777778,7.783722106804186,40.17222222222233,2
Census Tract 1105.01,white,465.2294117647059,565.1529411764706,21.478334534511742,99.92352941176466,1
Census Tract 3904,black,406.1333333333334,409.23333333333335,0.7632961260669646,3.099999999999966,0
Census Tract 8432,white,463.63846153846146,471.30769230769226,1.654140328173486,7.669230769230808,0
Census Tract 8408,white,525.6470588235294,546.3352941176471,3.935765443151309,20.688235294117703,1
Census Tract 1105.02,white,465.8294117647059,539.1882352941176,15.748001666856059,73.35882352941167,3
Census Tract 7608.02,white,772.7388888888889,845.2388888888889,9.382211901389717,72.5,0
Census Tract 1505.02,white,559.0166666666668,611.4722222222223,9.383540542420711,52.45555555555552,1
Census Tract 8431,white,431.25294117647064,441.5352941176471,2.3842974642969117,10.282352941176441,0
Census Tract 8343,black,459.23333333333335,493.9111111111111,7.5512327308799625,34.67777777777775,0
Census Tract 8439,black,372.62631578947367,378.88947368421054,1.6808147007726193,6.263157894736878,0
Census Tract 8312,white,602.1555555555556,649.6444444444444,7.886481898365122,47.48888888888882,9
Census Tract 8316,white,584.2894736842105,619.5,6.026212673962979,35.21052631578948,2
Census Tract 8315,white,551.5631578947368,627.078947368421,13.691231619225741,75.51578947368421,3
Census Tract 8311,white,698.1888888888889,723.9833333333333,3.6944793672517835,25.79444444444448,2
Census Tract 8317,white,558.2705882352942,621.2647058823529,11.283796598739784,62.994117647058715,4
Census Tract 2715,black,383.8294117647059,399.7764705882353,4.154725598075123,15.947058823529403,0
Census Tract 4402.02,black,521.8888888888888,541.411111111111,3.740685543964237,19.52222222222224,0
Census Tract 4401.02,black,497.94999999999993,531.3888888888889,6.7153105510370485,33.43888888888898,0
Census Tract 307.02,white,993.7058823529412,1081.1352941176472,8.798318830284739,87.42941176470595,5
Census Tract 306.03,white,316.70588235294116,345.8411764705882,9.199479940564634,29.13529411764705,1
Census Tract 307.01,white,1164.4777777777776,1220.927777777778,4.8476665744301455,56.45000000000027,4
Census Tract 8363,black,400.74999999999994,408.9111111111111,2.0364594163720913,8.161111111111154,0
Census Tract 8383,white,634.8833333333334,664.7333333333332,4.70165122200926,29.849999999999795,3
Census Tract 8398,white,704.1235294117646,729.7058823529412,3.63321943843412,25.582352941176623,0
Census Tract 8366,black,439.21875,459.36875,4.587691213091421,20.149999999999977,0
Census Tract 7302.02,black,618.3842105263158,652.2473684210526,5.476070914863004,33.86315789473679,4
Census Tract 4301.01,black,1022.6055555555556,1039.2444444444445,1.6271072260945647,16.638888888888914,0
Census Tract 633.02,white,743.2722222222221,784.5388888888889,5.552025951311408,41.266666666666765,4
Census Tract 8362,black,913.9555555555554,931.8388888888888,1.9566961680607005,17.88333333333344,0
Census Tract 714,white,741.7222222222222,781.9611111111112,5.425061793124133,40.23888888888905,3
Census Tract 8401,white,672.45,694.588888888889,3.292272866218888,22.138888888888914,0
Census Tract 5805.02,white,901.064705882353,931.7647058823529,3.407080512596202,30.699999999999932,1
Census Tract 8414,white,688.0277777777778,714.0833333333335,3.7869918042714827,26.055555555555657,3
Census Tract 814.01,white,468.41333333333324,490.59333333333325,4.735134211949562,22.180000000000007,3
Census Tract 814.03,white,652.5166666666668,678.6722222222221,4.008411875388419,26.15555555555534,0
Census Tract 307.03,white,1124.3055555555557,1212.9055555555558,7.880420012353316,88.60000000000014,4
Census Tract 8360,black,859.411111111111,879.3722222222221,2.3226498765304404,19.96111111111111,0
Census Tract 8358,black,782.838888888889,805.3166666666666,2.8713159370098684,22.477777777777646,0
Census Tract 8359,black,757.4588235294117,776.2235294117646,2.4773235586481097,18.764705882352928,0
Census Tract 8345,black,796.1222222222221,809.9777777777778,1.7403804552623203,13.855555555555611,0
Census Tract 8436,black,873.5722222222223,891.3666666666667,2.036974618901945,17.794444444444366,0
Census Tract 5805.01,white,772.2823529411766,788.9764705882353,2.1616598622874816,16.69411764705876,0
Census Tract 8346,black,755.964705882353,797.5176470588236,5.496677404796373,41.552941176470654,0
Census Tract 8318,white,1136.7529411764706,1190.6941176470589,4.745197880443787,53.94117647058829,0
Census Tract 716,white,679.0823529411764,707.1941176470588,4.139669450123005,28.111764705882365,2
Census Tract 8326,white,629.6666666666666,646.7555555555557,2.7139580024704726,17.088888888889073,3
