,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 8320,white,163.5,201.89999999999998,0.2348623853211008,38.39999999999998,2.0
Census Tract 1606.01,white,,,,,
Census Tract 2105.01,white,,,,,
Census Tract 2106.01,white,,,,,
Census Tract 813,white,,,,,
Census Tract 7005.02,black,,,,,
Census Tract 8361,black,,,,,
Census Tract 8357,white,,,,,
Census Tract 611,white,126.5,164.89999999999998,0.30355731225296423,38.39999999999998,2.0
Census Tract 8365,black,284.5,290.3,0.02038664323374345,5.800000000000011,1.0
Census Tract 8396,black,,,,,
Census Tract 8400,white,,,,,
Census Tract 8356,white,,,,,
Census Tract 8308,white,,,,,
Census Tract 4603.01,black,,,,,
Census Tract 3017.01,white,,,,,
Census Tract 3104,white,,,,,
Census Tract 5301,black,,,,,
Census Tract 811,white,,,,,
Census Tract 1507,white,,,,,
Census Tract 3017.02,white,,,,,
Census Tract 7003.01,black,,,,,
Census Tract 4909.02,black,,,,,
Census Tract 618,white,196.7,235.1,0.1952211489578038,38.400000000000006,2.0
Census Tract 4909.01,black,,,,,
Census Tract 6503.02,white,,,,,
Census Tract 8319,white,99.7,139.2,0.3961885656970911,39.499999999999986,1.0
Census Tract 8306,white,,,,,
Census Tract 8309,white,319.20000000000005,345.59999999999997,0.08270676691729298,26.39999999999992,2.0
Census Tract 8307,white,,,,,
Census Tract 3009,white,,,,,
Census Tract 7005.01,black,208.29999999999998,224.5,0.07777244359097464,16.200000000000017,1.0
Census Tract 4603.02,black,,,,,
Census Tract 4313.02,black,,,,,
Census Tract 2229,white,,,,,
Census Tract 4313.01,black,,,,,
Census Tract 4401.01,black,,,,,
Census Tract 3018.03,white,,,,,
Census Tract 3102,white,,,,,
Census Tract 3103,white,,,,,
Census Tract 3105,white,,,,,
Census Tract 5103,black,224.0,319.9,0.4281249999999999,95.89999999999998,1.0
Census Tract 4914,black,,,,,
Census Tract 5002,black,,,,,
Census Tract 5302,black,,,,,
